AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
-66,100,0,0,82,0,0,88,46,100,-35,0,0,-63,0,0,3,-100,-17,-14,0,100,0,0,-9,-52,0,100,87
100,-30,-43,-49,0,100,-62,100,-2,99,0,-100,0,-100,-100,0,0,2,-56,-79,-9,100,1,0,0,-60,0,100,0
-22,-7,64,0,100,-100,100,29,-58,-91,0,0,100,-92,72,100,-14,-100,100,0,100,64,0,-20,-100,100,100,-100,-100
100,-83,-6,0,100,100,-72,-35,0,-24,100,-88,-27,-87,-41,0,-6,0,-100,1,0,-67,100,-58,-44,100,-66,0,-14
-91,-100,0,100,100,-85,100,-100,0,88,100,-16,0,-11,100,-43,-100,-35,-10,100,0,100,0,0,-42,-100,-34,0,-100
-72,100,-100,0,100,100,0,0,-86,-99,0,-20,-14,0,0,-57,0,-2,-10,0,0,-5,55,0,0,0,0,-20,100
100,0,93,0,-70,0,-94,0,0,-15,-12,0,0,0,0,100,0,0,-8,0,0,0,-48,0,0,-34,100,-81,0
-69,69,-12,0,-70,100,-39,1,0,-58,100,0,100,100,-100,-60,100,0,-28,-100,-60,-16,-20,0,0,-13,0,100,100
0,-22,-60,0,-63,-56,-73,1,0,0,100,100,-12,-100,100,-39,-55,0,0,-1,40,100,-26,0,0,-7,-100,-100,-96
-46,100,-37,0,-76,15,0,100,0,0,-100,0,1,-21,0,0,-78,0,100,0,-100,0,0,0,100,0,100,0,-65
0,100,100,-16,-61,-100,2,0,13,0,-100,0,-22,-36,-17,0,0,100,-26,0,0,100,100,0,-11,0,-31,-54,-15
100,-42,-97,90,100,-74,100,-1,100,0,0,-100,0,1,100,-1,0,-63,-57,100,0,-39,49,0,-89,0,100,100,0
31,-100,-100,100,-100,0,-100,46,-2,54,0,-100,-51,58,100,0,0,-27,-17,100,-36,-5,66,61,100,-100,-57,100,0
74,-24,-69,76,-75,0,69,68,100,21,-99,14,-75,74,60,0,22,100,0,100,0,-71,100,-32,-67,-77,-55,54,-100
-8,100,-28,-77,100,0,0,5,0,0,-42,-74,0,-33,100,0,0,-36,0,0,0,0,0,-29,-22,100,0,2,0
-42,0,100,100,45,0,-88,0,-100,0,0,-77,0,-100,100,0,-22,-74,0,-63,100,0,-15,0,-11,-41,-57,100,-18
0,-77,-100,-22,100,100,-88,0,-100,-18,100,20,1,-100,-80,0,100,0,0,-91,0,0,0,0,0,0,0,0,100
-96,-100,-57,-100,-90,100,100,98,-11,100,-100,-59,-1,-89,-32,75,-100,0,5,49,17,-85,76,0,0,86,11,100,73
-12,0,0,100,-100,-36,0,-5,0,-13,-47,100,0,-80,68,-75,0,0,92,1,0,100,0,100,0,-41,-11,100,-100
-47,-100,-100,0,0,-100,3,0,100,100,0,0,0,0,100,0,0,0,-97,-100,45,100,-4,0,0,0,0,0,-39
41,1,100,-96,10,100,-35,17,-100,-37,30,18,0,0,-100,0,0,0,24,-96,-100,-100,61,-44,0,36,0,-22,-70
95,-63,-8,-100,-62,100,-68,94,0,0,-30,-47,0,0,-58,83,41,100,-24,0,-62,-52,15,-30,20,100,70,100,19
100,-95,17,96,-54,-82,0,27,100,37,0,-71,26,0,-53,65,100,-100,0,100,0,100,-100,-26,-20,-53,57,28,100
98,-36,100,57,-100,-100,56,100,-45,-49,4,0,1,0,65,100,100,0,71,100,0,0,100,100,0,0,0,-81,49
0,100,100,65,0,-82,-56,1,100,0,-4,0,-27,0,100,0,-17,0,-71,-100,0,0,-85,0,0,-100,100,-100,-100
0,-100,100,0,15,0,0,-100,0,0,0,0,0,0,0,-97,-100,100,0,0,0,0,0,0,0,0,0,1,100
-100,91,-100,100,53,18,0,-40,100,-100,0,0,0,0,-69,43,76,-100,0,-100,0,100,0,-51,0,-14,0,-100,100
0,0,0,-29,100,0,0,-100,-14,-19,0,0,100,0,39,-98,1,0,0,0,0,100,0,0,0,-100,-91,0,100
0,0,-100,-100,-100,-18,0,-100,100,-19,0,100,-49,100,1,0,1,0,0,0,59,100,0,0,0,0,0,0,100
0,100,-100,-24,-38,100,0,-100,-99,100,0,-100,0,-73,25,100,-62,0,0,100,-59,-53,-17,-49,0,0,2,0,100
100,100,-47,74,-100,0,0,-100,-100,0,0,0,-42,1,0,-19,-6,100,0,-72,0,0,0,0,0,0,-16,-96,0
0,-10,0,51,0,-63,0,-10,0,-100,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,100
-70,0,100,-76,-2,-37,100,-70,0,100,0,0,-10,-7,0,100,-100,-55,0,-28,11,0,-28,0,0,-49,-64,1,100
100,0,-30,0,-51,100,100,-92,24,0,0,0,0,0,-100,-100,1,-16,0,0,-11,0,0,0,0,100,0,-94,0
-100,0,-100,100,-65,0,100,0,50,-100,0,0,100,0,1,100,-35,0,0,0,0,0,-22,0,0,0,-36,-21,100
0,-100,0,0,100,0,100,100,11,-43,0,0,0,-21,-47,-100,0,0,0,0,0,100,-8,0,0,0,0,-92,100
-45,100,-12,-100,-100,-100,-100,-100,100,0,100,0,-76,0,100,-87,0,0,0,0,100,100,0,0,0,-100,23,-1,64
0,-100,-20,100,-21,0,100,100,71,-7,0,0,-24,0,0,0,0,0,0,0,-30,0,0,0,0,-25,-36,1,-17
-51,0,0,-54,0,0,0,-32,-10,-7,0,0,100,0,100,-90,0,0,0,0,0,-100,1,0,22,100,0,0,-24
