AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,0,26,0,0,0,0,0,100,-26,0,0,0,-19,100,0,-100,0,0,1,-42,0,0,0,0,-2,0,0,-39
0,0,100,0,0,0,0,0,-100,0,0,-56,0,-100,-9,0,-80,0,0,-1,0,0,7,-90,100,-98,-76,0,100
0,0,-35,0,0,0,100,0,-33,0,0,0,0,-67,0,-100,0,0,100,0,0,1,-48,0,53,0,100,0,-100
0,0,0,0,0,0,-100,0,0,0,0,0,0,-15,100,-5,0,0,0,0,0,0,68,0,0,0,-100,0,-100
0,0,100,0,0,0,0,0,-100,0,0,-49,100,0,100,88,0,0,76,0,-89,0,-100,40,-20,100,-100,0,-90
0,79,-29,0,0,0,0,21,-100,0,0,-51,0,0,-32,-10,0,82,-100,0,62,44,100,-17,-10,-83,-16,0,-16
0,-79,100,0,0,0,0,-3,100,0,0,-70,80,0,-100,92,0,0,-76,0,-100,-5,100,100,17,0,1,0,0
0,0,-100,0,100,0,77,-18,-31,0,0,90,100,67,0,-100,0,47,0,0,69,80,0,-100,-100,-17,2,0,-21
0,0,-100,100,-33,0,-77,0,0,0,0,0,-100,0,100,-58,0,0,0,1,0,0,-100,0,57,0,0,0,0
0,0,-30,0,56,49,0,0,-74,0,0,-100,66,50,-63,35,96,0,0,0,56,-94,-73,-23,0,57,0,0,0
0,0,-100,0,-100,0,0,0,-100,100,0,-100,0,0,-42,0,-53,-100,0,-1,100,0,53,0,0,100,100,0,0
0,7,-28,-100,-23,-49,0,0,27,-100,0,0,-55,100,100,13,88,-29,78,0,100,92,100,46,-72,-100,-92,0,0
0,-7,100,100,100,16,1,100,84,0,0,-41,-12,100,-56,-36,-100,0,-60,100,-100,-100,78,-46,0,100,-65,100,0
0,0,86,9,98,-5,-1,-100,-100,0,0,100,77,-77,-36,-12,-31,0,100,0,0,-18,50,0,-100,-19,0,100,0
0,0,100,0,0,30,0,0,-82,0,0,-26,0,100,0,-100,0,0,-57,1,0,0,100,0,0,0,-17,0,0
0,0,-100,-23,2,0,0,0,100,0,0,-100,0,81,-21,0,69,100,0,-100,93,0,0,0,-12,-88,-50,-42,0
0,0,100,46,-95,100,0,0,0,0,0,100,0,2,-58,100,100,-39,-48,-1,-25,0,-31,0,-66,0,0,-100,0
0,90,1,0,0,-93,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,-4,0,0,0,0,-50,0,-58,100
0,-38,100,-100,-26,-23,0,0,0,0,12,-100,100,0,-28,100,-100,100,0,100,-100,0,0,100,0,100,2,0,-100
0,0,0,100,-79,0,0,0,0,0,-12,97,43,-100,-13,-3,0,0,0,0,-17,0,0,-100,0,-5,98,0,0
0,0,0,0,0,-9,0,0,0,0,0,0,-9,3,-1,-100,0,0,0,0,0,0,-18,0,0,80,100,0,0
0,-50,100,100,0,-16,4,0,-80,0,0,-100,100,-55,-92,100,-69,-6,-13,-100,0,0,-100,0,68,-25,100,0,0
0,-2,100,-51,0,0,87,0,100,0,0,-64,-61,0,-40,-36,100,-91,0,0,0,71,87,0,-1,0,0,0,0
0,0,100,-25,0,0,-91,0,0,0,0,0,100,100,100,0,-100,-27,0,0,-43,-45,86,43,-50,-23,69,0,0
100,0,0,-29,0,0,0,0,-100,0,0,0,37,-100,0,0,0,0,0,1,-17,0,100,-43,0,0,0,0,0
-100,0,0,100,0,100,0,0,-20,0,0,0,100,-100,67,0,0,0,0,-1,-100,-26,-60,0,28,-67,66,0,1
0,0,-12,0,0,98,0,0,0,0,0,1,-100,0,-79,-61,0,-37,0,0,100,0,0,0,-45,-2,-76,0,100
0,0,2,100,0,-2,0,0,1,0,0,-1,0,0,-100,-75,0,0,100,0,-6,0,-100,0,7,0,100,0,0
0,100,0,-100,0,78,3,0,100,0,0,0,100,-71,0,-54,100,0,-100,0,0,0,-6,0,0,-38,-77,0,-100
0,-100,0,0,0,0,-3,0,-22,0,100,0,68,0,-35,0,0,0,0,0,-74,0,100,0,-7,-20,2,0,0
27,80,100,-100,0,-100,0,0,-76,0,-100,0,-21,0,-36,0,61,0,0,0,62,0,100,100,0,0,67,3,59
0,100,-100,-100,100,0,0,0,0,0,0,0,100,0,-100,0,-13,0,46,0,-100,0,0,100,0,100,-68,-3,-60
-27,100,-86,-27,-100,-42,100,0,0,0,0,100,-67,0,100,-13,-36,0,8,0,100,0,-63,0,0,-100,-15,0,1
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-18,-39,-58,0,-16,1,46,0,0,0,0,0,-5,0,0
0,0,100,0,0,0,0,0,-3,0,1,0,0,0,0,-30,0,0,0,0,-43,0,-86,100,0,0,2,0,-1
0,-7,-100,0,0,-37,-53,0,0,0,0,0,-5,0,100,0,-54,0,-38,-1,-100,0,0,42,100,0,0,0,0
100,-43,0,0,37,-31,-36,1,0,0,-1,0,0,0,-50,0,0,0,0,0,0,0,-3,100,-27,0,-19,0,0
-30,-42,0,0,0,0,0,-1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,-50,0,0,0,0,0,100
0,-100,100,100,0,-3,0,0,0,0,0,0,0,0,-100,0,0,0,0,100,90,0,-100,0,-16,0,-100,0,-46
1,-42,100,100,-37,-30,-10,0,100,0,0,-11,-85,0,-15,-26,0,77,0,-41,-100,0,-36,100,0,0,0,0,-43
0,93,0,0,0,-31,0,0,100,0,0,-89,-35,0,-43,26,0,-77,100,-59,0,0,100,-100,0,0,100,0,-4
49,100,0,-63,0,75,0,0,-59,0,0,100,-28,76,46,-50,0,0,-100,0,1,0,-100,-100,8,0,-8,0,-7
-100,-70,-1,-48,0,100,0,0,-18,0,0,-50,83,100,100,0,0,0,0,0,41,0,-100,0,0,0,100,0,0
100,100,0,0,0,0,0,0,93,0,0,-19,-12,0,0,0,2,0,0,0,-100,0,-100,0,0,0,-62,0,0
0,0,0,-18,0,0,0,0,0,0,0,0,-78,-28,-93,0,0,0,0,0,100,0,0,0,0,0,-3,2,0
-77,-45,100,-39,0,81,0,100,-100,0,31,-31,100,-100,29,0,61,0,0,0,1,0,82,-19,-65,0,-21,-2,0
0,0,100,16,0,0,0,-100,0,0,-19,0,1,0,0,0,-63,0,0,0,0,0,0,-12,0,0,100,0,0
-38,0,65,0,0,0,0,0,0,0,-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,-20,0,-48,0,0,0,0,0,0,0,0,-3,5,100,0,0,0,0,0,0,100,0,-95,0,0,0,0,0
0,-67,0,71,0,-5,6,0,-100,100,0,54,0,100,-100,40,0,0,0,80,-32,-100,-100,-98,35,0,100,100,0
2,47,-37,100,100,-100,-6,0,58,-100,0,51,100,-100,-81,9,0,0,0,100,-56,0,100,18,-35,0,22,-19,17
-2,100,0,0,-43,100,0,0,-53,0,0,-100,0,-53,0,0,0,0,0,-36,0,0,-49,62,0,0,-100,1,0
100,-60,0,-18,0,0,0,0,-21,0,0,-5,100,0,-100,0,0,0,0,0,0,0,0,-94,67,0,-100,-27,-17
-15,-82,100,-95,-38,0,0,0,0,0,0,0,100,100,100,0,0,0,100,100,0,37,100,-100,-67,0,-34,1,0
-44,-82,-100,-13,-19,-71,0,0,0,0,100,0,-100,-88,-100,-49,0,0,0,0,44,-37,0,100,100,0,-29,1,0
0,-50,-100,-45,0,0,0,0,0,0,-37,0,100,-12,100,100,0,0,-3,-100,0,0,100,4,-2,0,0,0,0
-41,-10,-31,0,100,0,0,0,0,0,0,0,-61,0,100,0,0,0,-83,-27,0,0,-58,0,0,0,1,0,76
0,0,0,0,-39,0,1,0,0,0,-35,0,-14,0,100,0,0,0,-14,-20,0,0,-58,0,48,0,0,0,-39
2,68,-10,0,100,-100,2,100,71,0,-5,0,-100,0,84,-64,0,0,0,-97,0,0,-100,100,-66,100,-72,-44,-31
-2,-68,-100,0,-28,-35,-3,-80,1,100,19,0,-20,0,0,-36,0,0,0,0,0,0,-100,-24,100,0,-100,0,-2
0,0,100,0,-100,-45,0,-20,100,0,0,0,-100,100,-69,0,0,0,100,0,100,80,-47,-100,0,-92,100,0,0
0,0,100,0,0,0,0,0,100,0,0,0,100,70,0,87,0,0,-88,0,-100,-35,0,-84,-30,0,0,-13,100
0,0,0,0,0,0,0,0,100,0,-35,0,100,-23,-100,-87,100,0,100,0,-17,-45,0,0,38,0,0,1,-100
3,16,-100,0,-33,0,0,100,4,-77,52,0,-83,-96,33,0,-100,0,-58,5,-16,100,17,100,-38,-8,63,-1,-4
100,100,88,0,0,0,0,-41,0,0,-59,0,100,-50,-33,0,0,0,-54,0,-3,100,0,-100,0,0,100,0,0
100,-100,100,0,100,26,0,-59,-100,-23,0,87,0,100,0,0,2,0,36,0,-21,-79,34,0,-100,49,-3,29,90
-99,0,0,0,-48,0,0,0,0,0,0,100,-13,0,-5,0,-2,0,0,-5,0,0,-100,1,47,0,100,-19,0
-100,0,100,0,-38,-23,0,100,-93,0,0,-100,-100,100,0,0,0,44,100,0,82,-90,100,0,0,-49,-100,-10,0
0,100,100,0,-14,-3,0,-51,1,0,45,0,-88,87,100,0,0,-8,0,0,-1,-31,-8,-1,-84,0,89,0,-90
-4,100,53,0,0,0,0,-49,-86,0,0,-47,100,0,-75,100,0,-36,1,100,0,0,-100,0,-13,0,100,0,0
0,-100,100,0,0,0,0,0,57,0,-16,0,0,100,-50,0,0,0,-5,-27,0,0,-75,100,0,0,2,0,0
0,-100,0,0,100,56,0,0,-100,0,-29,0,-71,0,77,0,0,0,-100,-26,-10,0,-51,100,0,100,0,0,0
0,0,100,0,0,0,0,0,0,0,0,-26,-2,100,-100,0,100,0,-32,2,-100,100,-100,0,67,-74,-26,0,100
0,0,100,100,0,-28,0,0,-22,0,0,-14,70,-100,0,0,1,0,100,-22,0,0,-100,-100,-35,-26,-29,0,100
0,100,91,0,-100,-28,0,0,0,0,0,0,0,0,0,-58,-100,0,100,1,0,-73,0,-100,0,0,-31,0,100
0,0,0,-45,0,0,0,0,-33,0,0,0,100,-86,-39,0,-1,2,-92,-28,0,-27,0,0,39,0,-77,0,100
100,-100,12,0,100,0,1,100,0,0,0,0,-36,-8,100,-42,0,52,-100,66,-13,0,-95,0,-21,0,-83,0,-54
-92,0,0,100,-9,0,1,0,0,0,0,0,-100,-100,95,100,0,0,59,0,-36,0,0,0,0,0,0,0,-82
-8,100,-100,0,0,0,0,-100,100,0,0,0,-27,0,-49,0,0,0,-67,-22,-100,0,94,0,100,0,-100,100,-88
0,15,13,-100,-73,6,-2,0,-52,0,28,0,-100,100,51,96,0,100,19,-44,100,0,-94,100,-100,0,-100,-100,-100
0,-88,100,100,-18,-6,0,0,0,0,-28,100,100,1,-100,100,0,-74,0,0,100,0,0,15,0,0,-1,0,-76
0,99,10,-100,100,31,0,0,-48,55,0,-28,58,68,-100,-100,0,-80,-19,0,-100,8,0,54,-27,0,7,13,0
98,-45,21,-55,-16,-31,0,0,0,-6,21,0,36,48,0,100,30,0,0,2,-100,11,42,-100,-23,0,-7,-13,0
-25,-81,-63,0,-75,100,0,100,2,-49,45,100,-54,100,-37,72,-30,0,100,-2,-36,0,0,73,100,0,-79,0,0
-73,-16,0,0,0,-52,0,-80,0,100,-22,-14,-36,100,-100,-69,1,0,0,0,2,0,100,0,0,100,100,0,0
0,0,100,0,-9,0,0,0,-2,97,0,0,100,-100,1,1,-1,0,-100,0,-59,-19,-61,-23,0,-100,-56,0,100
