AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,-84,1,100,-22,-100,0,0,-37,100,-73,37,78,81,-71,76,0,100,0,100,0,-100,100,-100,96,-33,100,-40,72
0,0,0,0,100,0,-40,100,100,98,-100,-15,-100,100,0,46,0,100,0,-15,-100,-47,0,-30,-96,100,-100,0,-100
-34,-53,-29,-22,100,-74,-100,-39,-99,100,67,-59,1,100,0,-81,100,-100,0,100,0,-7,100,0,0,100,-28,0,-13
100,0,0,100,-20,100,100,100,-88,35,-19,0,1,-100,0,-100,-57,-72,0,0,-37,-52,100,0,0,-100,0,100,0
93,-100,-32,-3,43,100,100,-52,0,-9,3,55,-100,98,0,-100,-43,-37,7,4,-53,-100,100,0,0,-62,86,100,96
100,-71,0,-100,-100,0,-100,-100,0,100,-100,100,0,0,0,0,54,-44,0,100,100,0,100,0,0,100,-100,0,-98
-34,64,80,-86,-100,100,100,-9,100,100,-75,-100,-1,-45,86,-52,100,-91,54,-100,-20,-100,-64,100,0,-49,12,100,-100
100,0,-66,0,0,-7,-100,0,-69,100,99,0,-30,-30,0,-100,-100,0,0,0,100,0,0,0,0,-86,-100,2,0
1,-29,-14,0,100,100,100,100,0,-57,67,-27,0,-28,-86,-71,-54,0,-61,-100,100,-89,100,-72,0,0,-94,-100,-41
-100,-35,0,0,0,100,100,-52,100,-79,-60,100,0,-100,72,0,0,0,0,0,-100,100,-47,-28,0,-26,-28,100,100
100,0,0,100,0,-100,-38,-48,0,78,-64,0,1,-49,-72,0,0,0,0,-22,100,-28,0,0,0,0,-100,-43,-85
-3,0,0,-100,-100,-30,100,0,27,-41,-42,-100,80,-75,0,-57,0,0,100,84,100,7,-74,56,0,100,-36,74,-75
-57,0,69,-19,-99,-100,78,0,100,-2,0,100,0,3,0,100,0,0,-100,72,100,0,-12,100,10,-78,-100,0,100
-100,0,5,100,24,-80,100,0,-53,68,100,-73,-81,-3,41,100,0,0,0,100,-100,100,-42,-100,-10,0,-71,-51,-33
0,0,-13,-53,0,0,0,0,0,-3,0,0,0,0,100,0,1,0,0,-44,61,0,-29,0,0,-3,0,0,-62
-100,100,0,-76,0,100,-100,100,-87,-100,-100,56,0,0,0,-91,0,100,0,-100,-34,100,100,100,0,0,0,3,100
-29,-40,0,0,0,100,-26,-57,0,0,0,0,0,100,100,0,-1,0,0,53,0,-36,0,0,0,-63,0,100,-98
37,-60,-37,0,0,0,0,-43,100,-100,0,100,0,-57,100,-97,0,-100,100,-100,0,0,100,0,0,0,0,-56,100
100,0,0,-14,-24,-100,100,0,-77,-100,0,100,0,-43,-11,-100,0,70,35,100,100,-15,69,0,0,87,1,-100,-89
0,0,0,0,0,100,-26,0,0,0,0,-30,0,0,-100,-86,0,-33,-15,83,100,0,-12,-1,0,0,-1,-100,0
-100,100,0,0,0,0,-78,0,0,0,0,-66,0,0,-100,100,0,0,0,0,0,0,-11,0,0,21,100,-16,0
1,-73,-24,100,0,100,0,0,-100,0,28,-23,0,0,100,-37,0,100,-39,-100,0,0,0,0,0,-100,-100,0,0
0,100,67,73,0,-100,-100,100,-41,-100,52,-100,0,0,-100,1,0,0,0,-100,-86,100,84,-100,100,-8,0,0,96
69,-13,-67,-100,39,65,63,-100,16,47,-80,-100,36,21,52,-89,0,-11,80,100,-100,-23,100,24,-81,0,0,-100,100
0,0,100,100,-39,-100,2,0,41,-100,0,100,-36,-21,100,0,82,100,-55,0,-22,100,100,0,0,0,100,0,-55
0,-100,0,-5,0,0,0,0,-57,100,0,-100,0,0,-39,0,0,-33,-100,0,0,79,0,0,100,0,-100,0,100
71,-14,91,-11,0,-100,1,0,0,-20,0,77,0,67,-100,0,-69,100,-6,100,-8,0,41,-79,-36,0,100,0,0
-10,100,-63,-47,0,-100,72,0,100,-100,0,-62,0,-67,-100,75,28,-100,0,-100,-100,100,-87,7,-18,0,99,-13,12
55,50,36,-100,0,-10,100,0,-37,-26,0,-77,100,100,-17,70,-41,71,0,-5,-12,31,100,-7,32,0,2,67,21
-89,-31,92,-10,0,-44,24,69,62,24,0,-33,100,100,-26,-100,0,37,89,-100,-100,51,60,100,-30,100,-100,-67,100
